"","No_ofProducts","GenderID","TransactedProducts","HasFixedDeposit","HasActiveLoans","LoanHistory","ChurnStatus","Total_Deposits","Total_Deposits_per_day","Total_Deposits_per_week","Total_Deposits_per_month","Total_Deposits_per_year","Av_Deposits","No_Trx","WeekdayTrx","EndMonthTrxs","MidMonthTrxs","Transactions_per_day","Transactions_per_week","Transactions_per_month","Transactions_per_year","Total_Withdrawals","Max_Withdrawals","Av_Withdrawals","days_since_last_trx","LastDepositBalance"
"192","2","M","2","1","Yes","Yes","Not_Churn",57040,438.769230769231,3071.38461538462,13163.0769230769,160150.769230769,983.448275862069,58,48,30,28,0.446153846153846,3.12307692307692,13.3846153846154,162.846153846154,63068,5600,1087.37931034483,324,0
"193","2","M","2","1","NO","No","Not_Churn",1380,21.2307692307692,148.615384615385,636.923076923077,7749.23076923077,69,20,20,6,14,0.307692307692308,2.15384615384615,9.23076923076923,112.307692307692,1252,300,62.6,272,80
"194","2","M","2","1","Yes","Yes","Churn",17920,190.63829787234,1334.46808510638,5719.14893617021,69582.9787234043,1629.09090909091,11,8,0,11,0.117021276595745,0.819148936170213,3.51063829787234,42.7127659574468,17920,6160,1629.09090909091,361,0
"195","2","M","2","1","No","Yes","Not_Churn",85885.6,192.137807606264,1344.96465324385,5764.13422818792,70130.2997762864,1101.09743589744,78,67,29,49,0.174496644295302,1.22147651006711,5.23489932885906,63.6912751677852,91345.2,5500,1171.09230769231,8,0
"196","2","M","2","1","Yes","Yes","Not_Churn",91178,375.218106995885,2626.52674897119,11256.5432098765,136954.609053498,1402.73846153846,65,28,55,10,0.267489711934156,1.87242798353909,8.02469135802469,97.6337448559671,97142.86,6072,1494.50553846154,212,0
"197","2","F","2","1","Yes","Yes","Not_Churn",16160,106.315789473684,744.210526315789,3189.47368421053,38805.2631578947,577.142857142857,28,23,3,25,0.184210526315789,1.28947368421053,5.52631578947368,67.2368421052632,16660,5600,595,302,0
"198","2","F","2","1","Yes","Yes","Not_Churn",136672,333.346341463415,2333.4243902439,10000.3902439024,121671.414634146,1394.61224489796,98,94,34,64,0.239024390243902,1.67317073170732,7.17073170731707,87.2439024390244,136672,6116,1394.61224489796,44,0
"199","2","M","2","1","Yes","Yes","Churn",5080,153.939393939394,1077.57575757576,4618.18181818182,56187.8787878788,508,10,10,0,10,0.303030303030303,2.12121212121212,9.09090909090909,110.606060606061,10580,5040,1058,421,0
"200","1","M","1","1","NO","No","Churn",50,50,50,50,50,50,1,1,0,1,1,1,1,1,0,0,0,453,0
"201","3","M","3","1","Yes","Yes","Churn",17700,431.707317073171,3021.9512195122,12951.2195121951,157573.170731707,708,25,22,0,25,0.609756097560976,4.26829268292683,18.2926829268293,222.560975609756,23606,5600,944.24,413,100
"202","2","M","2","1","No","Yes","Churn",5740,173.939393939394,1217.57575757576,5218.18181818182,63487.8787878788,574,10,10,0,10,0.303030303030303,2.12121212121212,9.09090909090909,110.606060606061,11746,5600,1174.6,421,0
"203","2","F","2","1","No","Yes","Churn",4240,128.484848484848,899.393939393939,3854.54545454545,46896.9696969697,605.714285714286,7,7,0,7,0.212121212121212,1.48484848484848,6.36363636363636,77.4242424242424,4504,2240,643.428571428571,421,0
"204","1","M","1","1","NO","No","Churn",60,60,60,60,60,60,1,1,0,1,1,1,1,1,0,0,0,454,0
"205","2","F","2","1","Yes","Yes","Churn",50404,536.212765957447,3753.48936170213,16086.3829787234,195717.659574468,1120.08888888889,45,40,6,39,0.478723404255319,3.35106382978723,14.3617021276596,174.734042553192,62159.6,9940,1381.32444444444,361,0
